0ˆolHm,$D¤ þø997,198.80
999,497.80
998,498.60
997,497.60
996,496.60
995,495.60
994,494.60
993,493.60
989,491.40
987,488.20
987,487.00
987,487.00
1005,494.20
998,502.20
981,491.20
1025,498.60
1012,519.80
1021,515.60
1006,515.00
1013,508.80
1016,514.20
1005,511.60
1016,509.40
1016,516.00
1035,523.60
1052,541.80
1060,555.20
1056,558.40
1033,546.80
1032,532.60
1004,520.80
984,496.00
1033,503.60
1005,521.80
1010,507.00
1060,530.00
1318,663.20
1168,758.00
878,552.00
901,387.20
927,411.40
997,455.00
1036,512.60
1014,527.20
1069,536.00
1052,562.20
1076,561.60
1059,569.20
1065,561.40
1130,591.00
1069,605.60
1120,589.40
1126,622.40
1145,633.60
1152,647.80
1152,652.00
1153,652.40
1105,633.80
1064,588.60
1034,552.00
1002,521.20
997,500.00
990,494.20
993,491.20
982,488.60
984,482.80
1013,495.60
1005,509.80
988,498.20
1023,502.00
969,501.40
988,476.60
1023,502.00
989,509.40
994,491.00
1011,500.80
985,500.60
994,488.60
986,490.80
989,487.20
992,490.20
997,494.00
999,497.80
1004,501.00
980,494.40
995,486.00
997,495.80
994,495.80
1004,498.00
980,494.40
1016,494.40
1004,511.20
1001,502.80
1023,509.80
1031,526.20
1038,533.80
1066,549.20
1036,554.00
996,520.00
1033,510.80
990,515.80
1026,504.40
983,508.80
1006,492.20
1036,518.00
1161,586.00
1370,744.60
886,676.40
873,380.80
901,384.20
970,428.60
1049,501.60
1035,543.40
1041,537.40
1061,549.00
1047,555.40
1064,553.80
1071,566.80
1077,573.40
1126,596.60
1092,612.40
1144,612.80
1152,647.20
1176,661.60
1154,667.20
1134,646.00
1154,642.00
1088,627.60
1060,576.80
1030,548.00
1007,520.80
973,493.40
978,475.00
987,481.60
981,484.60
993,485.80
996,494.20
996,496.00
1009,501.20
1010,509.40
1006,508.40
1006,506.00
993,500.80
1034,509.40
976,510.80
999,485.20
1025,509.40
984,508.60
986,484.80
1005,493.60
978,494.20
1004,488.40
1019,510.00
1009,515.00
998,504.60
1006,501.20
996,502.00
1014,503.20
1000,508.40
1011,504.40
997,505.40
1006,500.60
1026,514.00
1008,518.80
1004,506.40
1025,512.40
1017,521.80
999,509.80
1032,512.20
1035,533.20
1046,539.40
1064,553.20
1047,557.20
1043,545.40
1017,532.60
1028,521.40
989,512.40
1029,505.00
1004,519.00
1035,516.40
1097,559.80
1383,711.40
1021,738.20
856,455.00
930,385.60
994,455.60
1036,510.80
1040,537.60
1057,546.80
1065,560.20
1061,563.40
1093,573.80
1079,587.40
1097,586.20
1113,603.40
1098,607.00
1162,623.60
1152,658.00
1161,655.60
1180,668.60
1154,669.60
1165,658.40
1097,637.80
1077,589.00
1041,562.60
1013,529.80
1009,511.40
1014,511.00
994,506.00
970,484.40
1007,484.80
992,501.00
1002,496.00
1023,510.40
1038,529.00
1000,522.80
1001,500.40
1024,510.20
1006,516.80
995,501.60
1014,502.60
1022,517.20
977,504.00
1018,493.40
972,499.60
1010,487.20
985,500.00
1014,496.60
1017,515.20
996,508.60
995,495.60
1025,507.00
997,513.80
987,493.00
1021,500.60
1012,517.40
1019,514.80
988,506.60
1022,501.60
1008,516.40
1017,511.60
1014,515.80
1042,525.20
1041,541.60
1043,541.80
1073,555.00
1031,556.20
1021,527.00
1024,522.20
992,511.20
996,493.60
1007,500.40
1021,512.60
1035,526.60
1180,593.00
1358,751.20
894,672.40
891,392.80
929,406.20
964,443.00
1023,487.60
1041,530.20
1055,546.60
1064,558.60
1040,554.40
1078,555.20
1074,576.40
1100,584.40
1108,603.20
1129,616.40
1121,625.80
1137,627.40
1140,638.20
1167,650.80
1161,664.60
1118,643.80
1130,622.80
1061,602.40
1017,543.40
1001,510.60
1008,503.80
995,502.80
993,494.20
984,489.40
1002,491.20
998,500.40
1014,504.40
1008,511.60
1031,517.20
1007,521.40
997,503.00
994,495.80
1018,503.60
1007,513.60
1001,504.60
997,499.40
1013,503.40
995,505.80
994,494.60
1033,509.60
988,515.00
1010,496.80
1000,506.00
994,497.60
1029,508.00
999,517.00
1042,516.20
1018,532.40
1020,518.80
1047,530.80
1045,546.20
1054,548.60
1014,538.00
1008,511.60
993,502.00
993,493.00
997,494.60
994,495.80
1053,517.60
1216,618.20
1365,775.60
914,684.60
896,406.80
900,397.60
964,425.60
1031,490.80
1032,531.40
1035,533.20
1074,550.60
1047,563.20
1053,549.40
1088,567.00
1062,577.60
1116,583.60
1094,607.20
1128,607.60
1158,640.00
1152,655.60
1151,651.60
1148,649.80
1128,640.00
1077,607.60
1060,570.20
1021,544.40
1010,516.60
974,495.60
984,478.00
962,475.20
977,468.00
994,483.80
986,490.80
1005,493.60
976,493.40
1017,492.40
1014,515.80
981,500.80
987,483.40
974,481.80
1013,489.60
994,505.40
983,489.60
989,485.40
981,485.80
976,479.00
986,480.00
1007,494.40
1004,505.80
986,496.80
984,485.20
994,488.00
995,494.40
993,494.20
1006,498.20
1000,503.60
997,498.80
994,495.80
993,493.60
996,494.20
1017,504.40
1042,527.00
1052,546.00
1045,549.20
1011,531.40
997,505.40
987,493.00
999,491.80
981,491.80
997,487.40
984,491.80
1023,499.60
1166,580.20
1373,748.80
818,651.00
855,332.80
939,388.60
988,458.60
1017,499.60
1035,524.20
1018,528.20
1078,542.00
1067,573.60
1060,564.20
1073,565.20
1084,577.40
1092,587.20
1108,598.40
1117,611.60
1150,630.20
1163,655.20
1153,659.00
1163,657.00
1133,651.00
1093,617.00
1068,583.00
1021,549.20
992,509.40
981,487.60
970,476.60
