67	555.4
884	373.8
934	404
936	434.8
946	440
947	446.4
954	449.8
959	456
969	463
975	471.4
980	477
994	485.6
1002	497.2
1013	506.4
1031	520.2
1041	535
1042	541.4
1046	543.6
1031	540
1007	521.4
970	492.2
951	462.4
941	447
935	438.6
929	432.6
937	432.2
937	437
944	439.8
945	444.4
944	444.6
958	449.6
946	453.2
942	444.4
960	449.2
970	464
975	472
994	482.6
988	491.6
981	485.2
945	466.6
927	437.8
928	427.4
923	426
932	426.6
930	431.2
962	442.8
1088	512.4
1481	745.2
961	773
868	423.8
884	374.4
939	406
934	437
941	436.8
949	444.2
949	449
958	452.6
969	462.4
975	471.4
987	479.8
997	491
1000	498.2
1022	508.8
1023	522.4
1038	529
1041	539.2
1031	537
1013	523.8
990	503.8
962	478.8
942	454
932	438
927	430
930	428.2
934	431.6
936	434.8
940	437.6
939	439.6
946	441.8
945	445.6
953	448.2
965	457.8
968	466.2
997	479.6
996	496.6
986	492
941	468
933	437.8
925	429.8
933	428.2
926	430.2
934	429.2
949	440
1103	510.6
1510	765.8
959	789.6
868	422.6
882	373.6
932	402
937	434
946	440.6
949	447.2
950	449.4
957	452.8
966	460.6
969	467.2
980	473.4
982	480.8
996	487.6
1008	500.8
1023	514
1026	524.2
1031	528
1024	528.2
1009	518
981	497.8
956	471
939	449.2
935	437.4
927	431.8
927	427
928	427.4
938	432
936	437.2
929	433.2
941	433.8
936	439
941	438
956	447
959	457.2
984	469
983	483.6
966	476.2
929	451.2
908	420.6
906	407.2
899	403.2
902	400.2
905	403.2
926	413.4
1035	469.6
1510	725
945	784
832	399.8
869	346.8
901	381.8
902	401.4
912	406
913	412.4
920	415.8
924	421.6
929	426
940	433.4
949	443.6
957	452.2
968	461.4
983	474
995	487.8
1004	498.6
1010	506.4
1007	508.8
990	500.2
968	481.2
939	456.4
913	428.6
900	407.8
897	398.8
900	398.2
902	400.8
903	402.4
910	405.8
911	410.4
921	415
924	422.2
922	423.2
920	421.2
940	428
947	442.8
965	454.2
981	471.4
966	475
938	454.8
902	423.6
901	401.6
894	398.2
901	396.8
906	403
913	408.8
989	443.4
1352	634.2
1189	786.8
830	545.4
867	344.8
914	385.8
911	412.8
924	416.2
929	426
930	429.4
940	434
946	442.4
956	450
964	459.2
973	467.6
983	477
999	489.4
1011	503.8
1022	515.4
1029	524.8
1030	529.4
1016	524.4
986	504
957	474.4
939	449.8
925	433.4
913	420.2
912	412.6
915	413.2
926	419.4
925	425.6
930	427
936	432.4
933	434.8
933	433
934	433.4
927	431.2
928	427.4
926	427.2
927	426.4
934	429.8
936	434.8
932	434.4
934	432.8
927	431.2
939	431.8
940	439.4
937	438.8
942	439
938	440.4
949	442.4
942	446.2
944	442.8
961	450.8
977	467.4
980	478.2
978	479.2
975	476.8
954	466.6
939	448
935	437.4
936	435.4
